crisis_recession_stress,inflation_tightening,latecycle_complacency,early_recovery_expansion,date
0.1,0.7,0.1,0.1,20260128
0.2,0.5,0.2,0.1,20260318
0.2,0.5,0.2,0.1,20260429
0.2,0.4,0.2,0.2,20250129
0.2,0.4,0.2,0.2,20250319
0.2,0.5,0.1,0.2,20250507
0.05,0.45,0.3,0.2,20250618
0.4,0.3,0.2,0.1,20250730
0.45,0.35,0.1,0.1,20250917
0.25,0.4,0.2,0.15,20251029
0.25,0.4,0.2,0.15,20251210
0.2,0.6,0.1,0.1,20240131
0.2,0.6,0.1,0.1,20240320
0.2,0.6,0.1,0.1,20240501
0.2,0.6,0.1,0.1,20240612
0.2,0.5,0.2,0.1,20240731
0.25,0.4,0.25,0.1,20240918
0.2,0.4,0.3,0.1,20241107
0.1,0.3,0.4,0.2,20241218
0.2,0.6,0.1,0.1,20230201
0.3,0.5,0.1,0.1,20230322
0.4,0.5,0.05,0.05,20230503
0.2,0.6,0.1,0.1,20230614
0.2,0.6,0.1,0.1,20230726
0.2,0.6,0.1,0.1,20230920
0.25,0.55,0.1,0.1,20231101
0.4,0.5,0.05,0.05,20231213
0.1,0.6,0.2,0.1,20220126
0.2,0.6,0.1,0.1,20220316
0.4,0.5,0.05,0.05,20220504
0.45,0.45,0.05,0.05,20220615
0.35,0.55,0.05,0.05,20220727
0.3,0.6,0.05,0.05,20220921
0.3,0.55,0.1,0.05,20221102
0.2,0.6,0.1,0.1,20221214
0.5,0.2,0.15,0.15,20210127
0.7,0.1,0.1,0.1,20210317
0.4,0.2,0.2,0.2,20210428
0.3,0.2,0.4,0.1,20210616
0.4,0.3,0.2,0.1,20210728
0.25,0.4,0.25,0.1,20210922
0.2,0.4,0.2,0.2,20211103
0.3,0.5,0.1,0.1,20211215
